,y_pred,y_true,W11(avg1_short),W12(max1_short),W21(avg2_long),W22(max2_long)
0,[0.17039901],0.21029702,0.32223815,0.67776185,0.45787597,0.54212403
1,[0.17658974],0.29667836,0.4288947,0.5711053,0.42723742,0.57276255
2,[0.26553622],0.23215806,0.45667034,0.54332966,0.4509289,0.5490711
3,[0.2536501],0.26405406,0.3055799,0.69442004,0.27989295,0.7201071
4,[0.24079444],0.2504236,0.34835362,0.6516464,0.29054564,0.70945436
5,[0.24770135],0.28485233,0.3270712,0.6729288,0.3224671,0.6775329
6,[0.29912624],0.3284354,0.33859304,0.661407,0.4246241,0.5753759
7,[0.29331303],0.28242218,0.3254147,0.6745853,0.2940589,0.70594114
8,[0.28471366],0.26886457,0.33562365,0.6643763,0.29391587,0.7060841
9,[0.28416285],0.2363064,0.32468045,0.67531955,0.22449033,0.7755097
10,[0.2420485],0.1976498,0.35531998,0.64468,0.34010622,0.65989375
11,[0.23027195],0.21495521,0.2753542,0.72464573,0.22359212,0.7764079
12,[0.24104984],0.2575781,0.3732605,0.6267395,0.2642161,0.7357839
13,[0.23386556],0.20518184,0.27314842,0.7268516,0.29684022,0.7031598
14,[0.22788031],0.21605438,0.3518478,0.6481522,0.2590785,0.7409215
15,[0.23749569],0.25489974,0.49424207,0.505758,0.34007403,0.65992594
16,[0.2503802],0.24383843,0.40663102,0.593369,0.46981394,0.5301861
17,[0.2571093],0.32101262,0.30776903,0.69223094,0.2903766,0.7096234
18,[0.26723433],0.30116117,0.3688778,0.63112223,0.32802498,0.6719751
19,[0.27155167],0.26291183,0.3942551,0.60574496,0.28704888,0.71295106
20,[0.28439766],0.31431818,0.372443,0.627557,0.31667566,0.6833243
21,[0.2889772],0.2281056,0.3607278,0.6392722,0.37899548,0.62100446
22,[0.2706806],0.28748763,0.3098961,0.6901039,0.29397532,0.70602465
23,[0.27577734],0.28801078,0.3800935,0.6199065,0.3676567,0.6323433
24,[0.28444514],0.27668792,0.37830797,0.62169206,0.24264514,0.75735486
25,[0.25610206],0.31105047,0.38194445,0.6180555,0.3309246,0.6690754
26,[0.27614146],0.30718675,0.3672741,0.6327259,0.36585402,0.6341459
27,[0.28506237],0.2342835,0.39126584,0.6087342,0.3405427,0.65945727
28,[0.2754418],0.28249502,0.39470986,0.6052901,0.40688226,0.5931178
29,[0.27855885],0.28084296,0.31727645,0.6827236,0.29461303,0.705387
30,[0.25889432],0.23627001,0.39806268,0.6019373,0.35126922,0.64873075
31,[0.26094088],0.27794608,0.37072498,0.6292751,0.37768638,0.6223136
32,[0.27925113],0.28991112,0.33322716,0.66677284,0.29934785,0.7006521
33,[0.25954428],0.27301297,0.45533392,0.54466605,0.34838358,0.6516164
34,[0.27201933],0.23611766,0.29040542,0.70959455,0.24594848,0.7540515
35,[0.25998926],0.20646974,0.2852064,0.7147936,0.27880946,0.7211906
36,[0.2383253],0.20796946,0.34345257,0.6565474,0.26858044,0.73141956
37,[0.21885905],0.25423756,0.5611805,0.43881953,0.40042037,0.59957963
38,[0.23321155],0.2572868,0.51394314,0.48605677,0.4869086,0.51309144
39,[0.24059264],0.24787754,0.382733,0.617267,0.35169345,0.64830655
40,[0.26265702],0.24111697,0.39379874,0.60620123,0.31529665,0.68470335
41,[0.23668744],0.27643967,0.27447927,0.72552073,0.34424153,0.6557585
42,[0.27706298],0.29281467,0.4098057,0.5901942,0.29513317,0.7048669
43,[0.26258513],0.27513844,0.28932342,0.71067655,0.32632795,0.6736721
44,[0.27139872],0.28490514,0.37266487,0.6273352,0.3499822,0.65001774
45,[0.25289837],0.24460316,0.40993947,0.5900606,0.38478437,0.61521566
46,[0.27257714],0.22653303,0.35187608,0.6481239,0.3019232,0.69807684
47,[0.26324818],0.22403672,0.37621823,0.6237818,0.51904833,0.4809517
48,[0.25918835],0.20767814,0.41285735,0.58714265,0.53326595,0.46673408
49,[0.22999199],0.20870444,0.34211615,0.6578839,0.24821058,0.75178945
50,[0.22320908],0.17993718,0.37431267,0.62568736,0.22808215,0.7719178
51,[0.18989085],0.252804,0.2659765,0.73402345,0.22823629,0.77176374
52,[0.22878617],0.2538303,0.43390763,0.5660924,0.4310442,0.5689559
53,[0.22954841],0.25294298,0.33577156,0.6642285,0.3293727,0.67062724
54,[0.23267058],0.24094155,0.28259662,0.7174034,0.24917458,0.75082546
55,[0.24793963],0.2505195,0.30327815,0.69672185,0.2727905,0.72720957
56,[0.24754731],0.23544884,0.35160494,0.648395,0.33527035,0.66472965
57,[0.23821999],0.20716831,0.24988054,0.7501195,0.25926167,0.74073833
58,[0.24237493],0.24780473,0.48434556,0.5156544,0.35780162,0.6421983
59,[0.26003236],0.22501996,0.43831944,0.5616806,0.33283672,0.66716325
60,[0.2539422],0.212343,0.51382667,0.4861733,0.32583594,0.67416406
61,[0.21097852],0.17942736,0.3552289,0.64477116,0.31429797,0.685702
62,[0.1934406],0.27994895,0.35345727,0.64654267,0.24434166,0.7556583
63,[0.23822856],0.25151607,0.3833166,0.61668336,0.3035564,0.6964436
64,[0.2561255],0.24288493,0.34442037,0.6555796,0.26663184,0.73336816
65,[0.26548794],0.29840994,0.39087078,0.60912925,0.5480108,0.45198914
66,[0.26229677],0.30124065,0.3345677,0.66543233,0.29737684,0.7026231
67,[0.2767598],0.2928644,0.281507,0.71849304,0.42537817,0.57462186
68,[0.29394877],0.31027907,0.3475389,0.6524611,0.36010334,0.63989663
69,[0.2930985],0.2936425,0.32524058,0.6747594,0.2940342,0.70596576
70,[0.26809055],0.30411446,0.5432944,0.4567056,0.5247996,0.47520033
71,[0.2801104],0.30580965,0.31080598,0.68919396,0.4494438,0.5505562
72,[0.27852967],0.23447895,0.37652755,0.6234725,0.41138417,0.58861583
73,[0.2703148],0.24587467,0.3755311,0.62446886,0.3794811,0.6205189
74,[0.24091773],0.32785273,0.53419185,0.46580815,0.5114798,0.48852018
75,[0.29441026],0.26034936,0.41087463,0.5891254,0.37913907,0.6208609
76,[0.25984764],0.230367,0.30259457,0.69740546,0.3485701,0.65142983
77,[0.257288],0.2047151,0.365582,0.6344181,0.33996934,0.66003066
78,[0.2347835],0.22036844,0.27461836,0.7253817,0.3441074,0.6558926
79,[0.22567411],0.20526803,0.5837123,0.41628772,0.35339347,0.64660656
80,[0.21926375],0.2810748,0.5050817,0.49491826,0.5562609,0.44373906
81,[0.24769409],0.24940398,0.31742734,0.68257266,0.3189205,0.68107945
82,[0.26361293],0.29882386,0.318125,0.68187505,0.33081004,0.66919
83,[0.2638359],0.27166554,0.59115833,0.40884167,0.5692791,0.4307209
84,[0.2572088],0.23429686,0.35033157,0.6496684,0.25464424,0.7453558
85,[0.2600838],0.25983953,0.34328073,0.6567193,0.32756597,0.67243403
86,[0.2532396],0.25251934,0.3524482,0.64755183,0.3704121,0.6295879
87,[0.27067113],0.19806376,0.34444693,0.6555531,0.2262864,0.77371365
88,[0.22285841],0.24609983,0.33316424,0.6668357,0.2978009,0.7021991
89,[0.24356425],0.25054622,0.32201287,0.67798716,0.26641765,0.7335823
90,[0.250671],0.22841692,0.34535462,0.65464544,0.3013368,0.6986632
91,[0.24559838],0.26330268,0.32785505,0.67214495,0.234375,0.76562494
92,[0.24759454],0.23007566,0.26684347,0.7331565,0.25667974,0.7433202
93,[0.24890742],0.2329064,0.315093,0.684907,0.27410364,0.72589636
94,[0.25599766],0.22045463,0.31357676,0.68642324,0.30015647,0.69984347
95,[0.23047976],0.19395846,0.29480314,0.7051968,0.18040869,0.8195913
96,[0.2099722],0.16437003,0.37839952,0.6216005,0.33020917,0.66979086
97,[0.18199785],0.18962136,0.3424333,0.6575667,0.33292758,0.6670724
98,[0.1785941],0.12424346,0.36974925,0.6302507,0.24353199,0.75646806
99,[0.14968014],0.12729266,0.40172714,0.59827286,0.34656078,0.6534392
100,[0.14285302],0.11990633,0.37215593,0.62784404,0.2885622,0.71143776
101,[0.10562142],0.06511632,0.67724544,0.32275453,0.38078916,0.61921084
102,[0.09648126],0.054200687,0.66867256,0.33132744,0.34356615,0.6564339
103,[0.09210979],0.0534657,0.80367357,0.1963265,0.47702065,0.5229793
104,[0.07542785],0.07823693,0.8404706,0.15952934,0.41914752,0.5808525
105,[0.07729643],0.07779326,0.921984,0.07801594,0.5607742,0.4392258
106,[0.09614083],0.07169483,0.6990776,0.30092242,0.41428718,0.5857129
107,[0.08874954],0.07606838,0.60707945,0.39292058,0.4343314,0.5656686
108,[0.0995222],0.055044927,0.75471693,0.24528304,0.301929,0.698071
109,[0.10457442],0.06224919,0.6729988,0.32700127,0.4336742,0.5663258
110,[0.07247672],0.060044207,0.73446524,0.26553482,0.22755258,0.77244747
111,[0.07535466],0.061914764,0.6961071,0.30389294,0.37737355,0.6226265
112,[0.08958364],0.04251363,0.81894433,0.18105572,0.39694542,0.60305464
113,[0.08893432],0.04108008,0.79385984,0.20614016,0.44050685,0.5594931
114,[0.04871543],0.039682917,0.9754479,0.024552083,0.74201035,0.25798967
115,[0.0435647],0.023883916,0.9483623,0.05163764,0.66818494,0.3318151
116,[0.04998307],0.032150917,0.92178696,0.07821308,0.75735855,0.24264143
117,[0.0515577],0.03586229,0.97740686,0.02259313,0.831386,0.16861393
118,[0.0393745],0.03582587,0.9425898,0.057410255,0.6936306,0.30636942
119,[0.0426255],0.0077505037,0.98656034,0.013439655,0.8369695,0.16303053
120,[0.04989568],0.02498307,0.9248455,0.0751544,0.55598724,0.44401267
121,[0.04967414],0.04585419,0.917856,0.08214397,0.78885925,0.2111407
122,[0.04929394],0.056994997,0.89401907,0.105980925,0.3641321,0.6358679
123,[0.05834631],0.059855454,0.99112076,0.008879312,0.70296806,0.29703197
124,[0.07271084],0.08962598,0.6755745,0.32442555,0.6532482,0.3467518
125,[0.07990944],0.09248645,0.8275794,0.17242062,0.4324552,0.56754476
126,[0.11904814],0.0461886,0.5052325,0.49476752,0.430385,0.569615
127,[0.10613271],0.08951674,0.78213555,0.21786441,0.5438369,0.45616314
128,[0.09809455],0.11211943,0.77398765,0.2260124,0.39481086,0.6051891
129,[0.12370333],0.10789155,0.5491778,0.45082217,0.35588863,0.64411134
130,[0.13684447],0.38068298,0.35980976,0.64019024,0.33545816,0.6645418
131,[0.22603454],0.084815465,0.3091907,0.6908093,0.21270296,0.787297
132,[0.16925704],0.07481689,0.45340216,0.5465978,0.38289523,0.61710477
133,[0.15112783],0.09392669,0.28899947,0.7110005,0.29648378,0.70351624
134,[0.1311257],0.119760685,0.31940687,0.6805931,0.3923699,0.6076301
135,[0.11045372],0.14224744,0.70887834,0.29112166,0.5039431,0.4960569
136,[0.14079142],0.18043062,0.3980255,0.6019745,0.36677122,0.6332288
137,[0.14657478],0.16385353,0.5228194,0.47718063,0.49267358,0.5073265
138,[0.14317466],0.12082339,0.46660134,0.5333986,0.4839848,0.5160152
139,[0.13235341],0.16293645,0.7348313,0.26516873,0.42442045,0.5755795
140,[0.15497136],0.16583332,0.5555555,0.44444445,0.3477952,0.6522048
141,[0.15145034],0.17821896,0.53465754,0.4653425,0.49535564,0.50464433
142,[0.16708003],0.18829036,0.31918555,0.6808145,0.3756347,0.6243653
143,[0.15301672],0.173074,0.35945696,0.64054304,0.39304498,0.606955
144,[0.17213246],0.1670484,0.5592313,0.44076875,0.649379,0.35062096
145,[0.16950369],0.1901609,0.29317757,0.7068224,0.33069348,0.6693066
146,[0.18202363],0.22223899,0.46364838,0.5363516,0.38701445,0.61298555
147,[0.19655445],0.19405437,0.41686478,0.5831351,0.3664839,0.6335162
148,[0.19233038],0.22742036,0.3490843,0.65091574,0.5417993,0.45820072
149,[0.22261262],0.2707485,0.41862974,0.5813703,0.28492746,0.7150725
150,[0.25045198],0.28000537,0.36526337,0.6347366,0.308298,0.69170195
151,[0.27868134],0.24278238,0.26438516,0.73561484,0.26528102,0.73471904
152,[0.25862357],0.27096698,0.30403203,0.695968,0.278171,0.72182894
153,[0.2571208],0.24295777,0.51920533,0.48079476,0.5041754,0.49582455
154,[0.26441035],0.24495092,0.3523943,0.6476057,0.35048598,0.6495141
155,[0.26910317],0.34010908,0.3101486,0.6898514,0.4825755,0.51742446
156,[0.29053345],0.24340811,0.3265882,0.6734117,0.32000887,0.6799911
157,[0.2864805],0.21614057,0.28490788,0.71509206,0.28988996,0.71011007
158,[0.24719483],0.22381824,0.32177773,0.67822224,0.30753335,0.6924666
159,[0.24633913],0.25030768,0.31271356,0.68728644,0.26898074,0.7310193
160,[0.257406],0.25798535,0.44675308,0.5532469,0.34271118,0.65728885
161,[0.2470731],0.251632,0.4257525,0.57424754,0.46678317,0.5332168
162,[0.2592531],0.28614026,0.40670893,0.5932911,0.35822058,0.6417794
163,[0.26088303],0.22424856,0.28815505,0.711845,0.27341533,0.72658473
164,[0.23440439],0.26203117,0.4106585,0.5893415,0.3386873,0.6613127
165,[0.2525654],0.31578147,0.39360386,0.60639614,0.3372481,0.662752
166,[0.27809018],0.275698,0.33642396,0.663576,0.29453504,0.705465
167,[0.2715297],0.27360228,0.42809558,0.5719044,0.2936815,0.7063185
168,[0.2743567],0.27026173,0.35890815,0.6410918,0.37732324,0.6226768
169,[0.28441197],0.24597058,0.43936086,0.56063914,0.36175242,0.6382476
170,[0.2832781],0.29469857,0.34765175,0.6523483,0.2558445,0.7441555
171,[0.25776756],0.30076057,0.3313635,0.6686365,0.34612694,0.653873
172,[0.26486424],0.34349936,0.42070222,0.5792978,0.34578237,0.6542176
173,[0.2928023],0.2917586,0.29623628,0.7037637,0.29645786,0.70354205
174,[0.29736808],0.27331764,0.4196081,0.58039194,0.3229539,0.6770461
175,[0.27059877],0.2474108,0.38403544,0.61596453,0.37160954,0.6283905
176,[0.27249938],0.2372666,0.39692476,0.60307515,0.2804722,0.71952784
177,[0.26533112],0.2703115,0.29824445,0.7017555,0.29339135,0.7066086
178,[0.2525183],0.21908051,0.37201464,0.62798536,0.3044283,0.6955717
179,[0.26353985],0.21386275,0.27544042,0.72455955,0.3169878,0.68301225
180,[0.23471655],0.21261126,0.3227846,0.67721546,0.32385668,0.67614335
181,[0.21678461],0.24410668,0.3059251,0.6940749,0.28602114,0.7139789
182,[0.23612179],0.23172775,0.4144506,0.58554935,0.35166436,0.64833564
183,[0.2204614],0.25979644,0.3592118,0.6407882,0.28644457,0.71355546
184,[0.25400802],0.22981408,0.40432152,0.59567845,0.33141142,0.6685886
185,[0.22822885],0.22419572,0.45269823,0.5473018,0.341171,0.6588289
186,[0.24047945],0.30246907,0.42520845,0.57479155,0.49254113,0.5074588
187,[0.24605784],0.26898718,0.42917034,0.5708297,0.38513234,0.6148676
188,[0.26025677],0.24068666,0.31356278,0.68643713,0.30469596,0.69530404
189,[0.24359486],0.24186528,0.5424613,0.45753872,0.5549358,0.44506428
190,[0.26311058],0.26104793,0.38830978,0.6116902,0.27078414,0.72921586
191,[0.26820508],0.23807439,0.42029598,0.579704,0.3664762,0.6335238
192,[0.25714916],0.2348862,0.29770446,0.7022955,0.31261504,0.687385
193,[0.25542954],0.25563473,0.29002935,0.70997065,0.2897248,0.71027523
194,[0.26062766],0.20104015,0.2688846,0.7311154,0.22969931,0.77030075
195,[0.22798154],0.27283755,0.34876618,0.65123385,0.25177506,0.748225
196,[0.26054433],0.30249885,0.32724527,0.67275476,0.5127305,0.48726955
197,[0.2968619],0.23047626,0.38833627,0.6116637,0.40294564,0.59705436
