,y_pred,y_true,W11(avg1_short),W12(max1_short),W21(avg2_long),W22(max2_long)
0,[0.17949162],0.21029702,0.052646022,0.94735396,0.48511082,0.51488924
1,[0.19625954],0.29667836,0.05264966,0.9473503,0.4849872,0.5150128
2,[0.24725129],0.23215806,0.026551796,0.9734482,0.47266355,0.5273365
3,[0.23919399],0.26405406,0.0308732,0.96912676,0.4735389,0.526461
4,[0.2622918],0.2504236,0.05028279,0.9497172,0.47488773,0.5251122
5,[0.2590087],0.28485233,0.044031985,0.955968,0.47428855,0.5257115
6,[0.2659484],0.3284354,0.020787943,0.97921205,0.46899205,0.53100795
7,[0.2843587],0.28242218,0.03313503,0.966865,0.470459,0.5295411
8,[0.29245418],0.26886457,0.035618715,0.9643813,0.47069907,0.5293009
9,[0.27043387],0.2363064,0.033457484,0.96654254,0.47000727,0.52999276
10,[0.2689314],0.1976498,0.03614657,0.9638534,0.47248802,0.52751195
11,[0.23157413],0.21495521,0.016617065,0.9833829,0.47199407,0.52800596
12,[0.2122245],0.2575781,0.04033162,0.95966834,0.47595835,0.52404165
13,[0.23740374],0.20518184,0.026875492,0.97312456,0.47479033,0.52520967
14,[0.21428733],0.21605438,0.03359293,0.9664071,0.4783619,0.52163815
15,[0.21666655],0.25489974,0.02423878,0.9757613,0.47435212,0.52564794
16,[0.22249041],0.24383843,0.034763485,0.9652365,0.4777096,0.52229035
17,[0.25273928],0.32101262,0.022718737,0.9772813,0.47139466,0.5286054
18,[0.2626803],0.30116117,0.030241696,0.9697583,0.47324762,0.5267524
19,[0.28068966],0.26291183,0.038539,0.961461,0.47292843,0.52707154
20,[0.26837423],0.31431818,0.037948437,0.96205163,0.47155508,0.5284449
21,[0.2836397],0.2281056,0.049167033,0.95083296,0.47331983,0.5266802
22,[0.28070253],0.28748763,0.024194831,0.9758052,0.46793455,0.53206545
23,[0.24920316],0.28801078,0.03144624,0.9685537,0.47235575,0.5276442
24,[0.28852457],0.27668792,0.036276657,0.9637233,0.47022498,0.529775
25,[0.27893338],0.31105047,0.031627122,0.96837294,0.46992218,0.53007776
26,[0.27612612],0.30718675,0.030665562,0.9693345,0.47025108,0.529749
27,[0.27949616],0.2342835,0.03794584,0.96205413,0.4725374,0.5274626
28,[0.27168858],0.28249502,0.024264686,0.9757353,0.4690792,0.5309208
29,[0.2805389],0.28084296,0.03811205,0.9618879,0.47116712,0.5288329
30,[0.27359676],0.23627001,0.038795687,0.96120435,0.47048265,0.52951735
31,[0.26662892],0.27794608,0.039056122,0.96094394,0.4713785,0.5286215
32,[0.26350042],0.28991112,0.04269975,0.9573003,0.47176,0.52823997
33,[0.28798905],0.27301297,0.05232337,0.94767666,0.47244468,0.5275553
34,[0.26942414],0.23611766,0.048769142,0.9512308,0.47243065,0.52756935
35,[0.25945908],0.20646974,0.03676119,0.96323884,0.4724366,0.5275634
36,[0.24718854],0.20796946,0.043642625,0.95635736,0.47509703,0.524903
37,[0.22064498],0.25423756,0.022350945,0.97764903,0.47402304,0.52597696
38,[0.24642858],0.2572868,0.045093533,0.95490646,0.47674972,0.52325034
39,[0.24535905],0.24787754,0.014007972,0.985992,0.46913436,0.53086567
40,[0.2512887],0.24111697,0.036115702,0.9638843,0.47280204,0.527198
41,[0.25958312],0.27643967,0.0412166,0.9587834,0.47476664,0.52523345
