,y_pred,y_true,W11(avg1_short),W12(max1_short),W21(avg2_long),W22(max2_long)
0,[0.27553967],0.29819566,0.51265365,0.48734635,0.6625364,0.3374636
1,[0.30181813],0.4248065,0.5149415,0.48505858,0.6905085,0.30949154
2,[0.34023967],0.31516743,0.5222003,0.4777997,0.65522647,0.34477353
3,[0.34705284],0.3738303,0.5211427,0.47885725,0.6314753,0.3685247
4,[0.3654586],0.35699376,0.53646624,0.46353376,0.80241656,0.19758342
5,[0.3776944],0.37558404,0.5309103,0.46908966,0.7155368,0.28446323
6,[0.36767912],0.4315568,0.52578384,0.4742161,0.7153282,0.2846718
7,[0.3961979],0.39683893,0.53574216,0.46425787,0.7533794,0.24662054
8,[0.38963363],0.37357935,0.52637565,0.4736243,0.63957953,0.3604205
9,[0.36024052],0.34179315,0.524411,0.475589,0.73441494,0.265585
10,[0.34936765],0.29903647,0.52649444,0.47350547,0.6450125,0.35498756
11,[0.34506145],0.32074556,0.5236216,0.47637844,0.7241749,0.2758251
12,[0.34767336],0.40270594,0.5218905,0.47810945,0.69088817,0.30911186
13,[0.3787851],0.31186184,0.5256055,0.47439444,0.7047998,0.2952002
14,[0.3717474],0.34754044,0.5353463,0.4646537,0.76745725,0.23254272
15,[0.35604763],0.361675,0.52781487,0.47218513,0.75482064,0.24517937
16,[0.3826458],0.3554884,0.531985,0.4680151,0.7751554,0.22484459
17,[0.38407806],0.4386736,0.5327599,0.46724015,0.78760904,0.21239093
18,[0.38996908],0.4151835,0.5311867,0.46881324,0.74403524,0.2559648
19,[0.37800002],0.37585995,0.5286003,0.47139978,0.7300546,0.26994538
20,[0.37455463],0.4441931,0.53639334,0.4636067,0.7411852,0.25881478
21,[0.3997791],0.35188076,0.5318908,0.46810922,0.7416932,0.25830674
22,[0.3875034],0.4289113,0.5377224,0.46227765,0.74168795,0.25831205
23,[0.37200332],0.39187744,0.52684677,0.47315323,0.6766322,0.32336777
24,[0.40022346],0.401598,0.5357312,0.46426883,0.81266016,0.18733986
25,[0.39286962],0.4566721,0.53582543,0.46417454,0.8438168,0.1561832
26,[0.4091615],0.49521002,0.539192,0.46080795,0.8361973,0.16380262
27,[0.39078486],0.37605014,0.53010017,0.4698999,0.6430168,0.35698318
28,[0.3944947],0.44782957,0.532134,0.46786597,0.7718844,0.2281156
29,[0.40397912],0.45654473,0.53941476,0.4605852,0.84418905,0.15581091
30,[0.4137368],0.37632123,0.5382575,0.46174258,0.822496,0.17750396
31,[0.39100975],0.43043348,0.53445315,0.4655468,0.69041514,0.30958492
32,[0.4033717],0.48285392,0.53714716,0.46285284,0.83500195,0.16499804
33,[0.40794843],0.43935075,0.54058635,0.45941362,0.8155156,0.18448438
34,[0.42177886],0.45827553,0.53858036,0.46141964,0.7730808,0.22691917
35,[0.41163296],0.46139792,0.5363834,0.4636166,0.7720149,0.22798511
36,[0.40667847],0.42676893,0.5375482,0.46245182,0.7502981,0.24970189
37,[0.428437],0.40420994,0.54375625,0.45624372,0.8741269,0.12587301
38,[0.38263172],0.4336175,0.5382906,0.4617094,0.8197829,0.18021709
39,[0.42147785],0.4100167,0.5399532,0.46004677,0.79261196,0.20738803
40,[0.4132667],0.41548404,0.53310627,0.46689376,0.78233993,0.21766005
41,[0.40206593],0.4341317,0.5376548,0.46234515,0.77657384,0.2234262
42,[0.39573014],0.4885716,0.53765815,0.46234187,0.70387894,0.29612103
43,[0.4230535],0.47587618,0.5424687,0.45753136,0.8187125,0.1812876
44,[0.3997523],0.5208118,0.53534806,0.46465194,0.75330675,0.24669322
45,[0.44030675],0.41853198,0.5454535,0.45454645,0.831297,0.16870303
46,[0.39573875],0.3677056,0.53089696,0.46910313,0.71648854,0.2835114
47,[0.39868453],0.35324237,0.5392309,0.46076906,0.78174967,0.21825029
48,[0.36715007],0.34285322,0.53294444,0.46705562,0.75288415,0.24711582
49,[0.36925155],0.35519344,0.53679806,0.46320194,0.7496696,0.25033036
50,[0.35846812],0.2956419,0.5296904,0.47030962,0.7499948,0.2500052
51,[0.32847214],0.37886766,0.5211851,0.47881493,0.71957314,0.2804269
52,[0.36834422],0.42078462,0.5213228,0.4786772,0.67671335,0.32328665
53,[0.3777924],0.4299104,0.52914095,0.47085908,0.66192955,0.33807042
54,[0.38106453],0.3589538,0.5382623,0.46173763,0.7747117,0.22528823
55,[0.37945703],0.40728423,0.53205,0.46794996,0.6898607,0.31013927
56,[0.4012736],0.4255146,0.53262585,0.46737418,0.71013093,0.28986907
57,[0.4016936],0.3182222,0.53577363,0.4642264,0.79726404,0.20273595
58,[0.35963416],0.37990376,0.5315733,0.4684267,0.6831817,0.31681824
59,[0.3669327],0.36396047,0.53050786,0.4694921,0.77897924,0.22102068
60,[0.36569032],0.3554484,0.53153515,0.46846482,0.7555503,0.24444969
61,[0.38232484],0.2918886,0.5317646,0.46823534,0.7386458,0.26135418
62,[0.32772994],0.4451786,0.5172196,0.48278034,0.7302406,0.26975948
63,[0.3749775],0.4137512,0.5332479,0.46675217,0.7782558,0.22174421
64,[0.36370304],0.38804945,0.52581847,0.47418156,0.7166875,0.28331244
65,[0.39093325],0.46060678,0.5213023,0.47869763,0.73135823,0.2686418
66,[0.4012243],0.44578055,0.54090947,0.4590905,0.79076093,0.20923902
67,[0.4114016],0.41412625,0.5387541,0.46124592,0.8286664,0.17133363
68,[0.40950873],0.44620857,0.5438621,0.4561379,0.82572955,0.17427039
69,[0.41061425],0.42159435,0.54037577,0.45962414,0.8169837,0.18301634
70,[0.40956113],0.45084426,0.5382861,0.461714,0.79983747,0.20016256
71,[0.39464548],0.400256,0.5412904,0.45870957,0.7630073,0.23699273
72,[0.3782246],0.3305141,0.5391024,0.46089754,0.8232615,0.17673849
73,[0.3619551],0.32132968,0.5385361,0.46146396,0.8147242,0.18527582
74,[0.34670508],0.4333566,0.52743506,0.47256488,0.72443235,0.27556765
75,[0.38549],0.40049037,0.539577,0.46042302,0.76980436,0.23019564
76,[0.37660885],0.30937588,0.540769,0.45923102,0.8404842,0.1595158
77,[0.3575049],0.3053811,0.53413016,0.4658698,0.8168859,0.18311405
78,[0.36844972],0.31318784,0.5280722,0.47192782,0.7618769,0.23812315
79,[0.31941652],0.29161862,0.52662075,0.4733793,0.6533866,0.34661344
80,[0.3192001],0.40170792,0.5161636,0.48383635,0.75501245,0.24498755
81,[0.38818336],0.39820173,0.52560776,0.47439227,0.69776547,0.30223456
82,[0.37208372],0.41928902,0.5202392,0.47976083,0.6787968,0.32120314
83,[0.37953752],0.4059439,0.5353959,0.46460414,0.77152884,0.22847113
84,[0.4056639],0.3648397,0.5335032,0.46649683,0.84241,0.15758997
85,[0.36568823],0.351502,0.530847,0.46915302,0.6913149,0.30868512
86,[0.35867658],0.41287306,0.52970153,0.4702984,0.73961526,0.26038477
87,[0.39662397],0.33166057,0.52809817,0.4719018,0.72041124,0.27958882
88,[0.3646172],0.3399505,0.5244572,0.47554275,0.7254127,0.2745873
89,[0.3536861],0.41704985,0.5207218,0.47927827,0.6515488,0.3484512
90,[0.38711604],0.3502584,0.5294122,0.4705878,0.7369779,0.2630221
91,[0.36326385],0.34481126,0.52890307,0.47109687,0.713132,0.28686798
92,[0.3714406],0.3428972,0.5283981,0.47160193,0.761974,0.23802608
93,[0.35751092],0.33416027,0.5270998,0.47290015,0.7424931,0.257507
94,[0.3339448],0.31121263,0.5159143,0.48408574,0.6258588,0.3741412
95,[0.3426893],0.2831695,0.52187145,0.47812846,0.71408165,0.28591835
96,[0.2826571],0.25541326,0.5158618,0.48413828,0.6626939,0.3373061
97,[0.28481856],0.28864548,0.51456815,0.48543185,0.58977157,0.41022846
98,[0.28616425],0.20357439,0.5234008,0.47659928,0.68993205,0.31006792
99,[0.22618724],0.1938363,0.5065796,0.49342048,0.6006018,0.39939812
100,[0.20601998],0.18817267,0.49979627,0.50020367,0.382923,0.61707705
101,[0.1765299],0.11537194,0.49371752,0.5062825,0.39876577,0.6012342
102,[0.12532191],0.112867355,0.48611385,0.5138861,0.24718617,0.7528139
103,[0.11512419],0.08614372,0.47758338,0.5224166,0.2139392,0.7860608
104,[0.11538907],0.1110571,0.4900543,0.50994563,0.17693454,0.8230655
105,[0.091734],0.10474615,0.47972003,0.52028,0.1502812,0.84971875
106,[0.12680933],0.08855629,0.48656827,0.51343167,0.21394847,0.7860515
107,[0.1106131],0.0972669,0.47944695,0.52055305,0.1870963,0.8129037
108,[0.1094211],0.07602243,0.48220173,0.51779824,0.18672879,0.8132712
109,[0.09296878],0.083825216,0.48132518,0.5186748,0.13306239,0.86693764
110,[0.10742367],0.07411644,0.4871871,0.512813,0.13102478,0.8689752
111,[0.08269636],0.087887496,0.4754392,0.5245608,0.056473743,0.94352627
112,[0.1284624],0.07206231,0.48284668,0.5171533,0.24940546,0.75059456
113,[0.11766364],0.0675977,0.4911524,0.50884753,0.22991583,0.77008414
114,[0.09370156],0.07297014,0.47897992,0.52102005,0.14738269,0.85261726
115,[0.10426199],0.042343408,0.48334527,0.51665473,0.10518244,0.8948176
116,[0.08457532],0.061884597,0.47688073,0.5231193,0.079396136,0.9206039
117,[0.07667695],0.062675714,0.47230527,0.5276947,0.07597353,0.9240265
118,[0.09369832],0.06762703,0.4871263,0.5128737,0.082984716,0.91701525
119,[0.08857922],0.031437233,0.48348397,0.516516,0.10635961,0.8936404
120,[0.10761182],0.056089714,0.48890987,0.5110901,0.13386056,0.8661394
121,[0.10381704],0.086216554,0.48542622,0.5145738,0.15391082,0.8460892
122,[0.08096154],0.08211474,0.48449785,0.51550215,0.06309558,0.9369044
123,[0.08491288],0.10447833,0.48263127,0.5173688,0.099929966,0.9000701
124,[0.13052842],0.11704686,0.48684683,0.5131532,0.27104402,0.728956
125,[0.10416494],0.14636967,0.4803713,0.5196287,0.17109108,0.8289089
126,[0.12669955],0.083024174,0.48869067,0.5113093,0.29413876,0.7058613
127,[0.12161285],0.13538045,0.4851912,0.51480883,0.20356075,0.79643923
128,[0.15519446],0.13954443,0.486663,0.51333696,0.3272699,0.67273
129,[0.14182134],0.12929645,0.48692602,0.5130739,0.2773354,0.7226646
130,[0.16182004],0.378207,0.49415147,0.5058485,0.39928997,0.60071003
131,[0.2284874],0.12686673,0.50553286,0.49446717,0.5086155,0.4913845
132,[0.20796414],0.115890354,0.50226974,0.49773023,0.53658235,0.46341756
133,[0.17816179],0.12435135,0.48843747,0.5115625,0.43669093,0.5633091
134,[0.14492272],0.16448277,0.48869285,0.5113071,0.2849865,0.71501344
135,[0.13846536],0.18562633,0.48990396,0.5100961,0.32917708,0.6708229
136,[0.1721672],0.21619874,0.49489254,0.50510746,0.4287805,0.57121944
137,[0.21001121],0.21116027,0.49360737,0.5063926,0.44342577,0.5565742
